v4,v6,v8,v9,v10,v13,v15,v16,tiempo,rul,ciclo,id
4.89053164049361E-42,72,150.908584594727,258.799987792969,168.979156494141,93.6089401245117,73,73.4000015258789,19.50355,47,1,24
2.48197984001212E-41,72.5,147.34260559082,257.200012207031,175.74348449707,94.54296875,75,75.4000015258789,20.1715,46,1,25
6.35096490001294E-41,72.5,144.053253173828,254.699996948242,156.208343505859,93.9036483764648,75.5,75.9000015258789,27.005,45,1,26
4.4750466458213E-41,74.5,150.848968505859,256.799987792969,172.959197998047,95.9461822509766,76.5,76.8000030517578,26.3380666666667,44,1,27
5.68674942792297E-41,74.5,150.257537841797,258.200012207031,169.149307250977,96.7291641235352,78,78.0999984741211,19.67105,43,1,28
5.21899600053135E-41,75,153.487289428711,256.200012207031,172.448776245117,99.4344635009766,77,77.1999969482422,18.6706166666667,42,1,29
6.55303213856857E-41,75.5,158.568298339844,251.699996948242,192.625,98.8802108764648,76.5,76.8000030517578,17.3353333333333,41,1,30
7.90808775357067E-41,77,158.078140258789,237.399993896484,185.111099243164,99.03125,78,78.4000015258789,16.8461,40,1,31
6.35096490001294E-41,77.5,158.895843505859,258.799987792969,183.991317749023,97.7599868774414,77.5,77.9000015258789,12.5108333333333,39,1,32
3.72044742278239E-42,77,158.908584594727,258,180.774307250977,99.53125,78,78.0999984741211,15.51245,38,1,33
1.97709200331588E-41,78.5,154.593765258789,253.199996948242,186.97395324707,99.5855026245117,81.5,81.5,20.0173833333333,37,1,34
3.69368262211379E-41,79.5,163.980911254883,259.200012207031,201.774307250977,96.8333358764648,75,75.4000015258789,12.6767833333333,36,1,35
1.70257763415465E-42,79.5,159.307891845703,240.300003051758,180.234375,100.53125,81,81.3000030517578,15.5131166666667,35,1,36
5.68674942792297E-41,81.5,164.691558837891,258.600006103516,202.340270996094,99.3993072509766,77.5,77.6999969482422,12.6763333333333,34,1,37
7.7114855790259E-41,83,152.563095092773,234.600006103516,176.8984375,104.000434875488,88.5,88.9000015258789,24.8529333333333,33,1,38
4.85760112658198E-41,85.5,154.035308837891,235,175.460067749023,106.976997375488,91,91.1999969482422,29.1896166666667,32,1,39
7.41398991504974E-41,85,160.002334594727,227.5,179.46875,107.205726623535,90,90,20.01655,31,1,40
8.928513295292E-41,86.5,167.840286254883,244.899993896484,201.489593505859,108.922744750977,84,84.4000015258789,13.5116166666667,30,1,41
8.3758411809623E-41,85.5,163.78010559082,233.899993896484,187.289932250977,109.422744750977,87.5,87.8000030517578,14.17795,29,1,42
1.76983996044224E-41,89,159.988433837891,230.600006103516,190.02604675293,109.759986877441,92.5,92.6999969482422,22.68455,28,1,43
8.17923900641752E-41,89.5,163.120391845703,233.600006103516,195.999130249023,110.663192749023,91.5,91.9000015258789,18.0146666666667,27,1,44
4.6290493470506E-41,89,165.401641845703,234,200.842010498047,111.759986877441,92,92.6999969482422,17.68045,26,1,45
2.43419556237864E-41,90,155.843765258789,228.699996948242,187.868057250977,111.314239501953,94,94.3000030517578,26.6901666666667,25,1,46
2.96038313573261E-41,91,165.193878173828,232.899993896484,204.679260253906,115.073783874512,92,92.0999984741211,17.1811666666667,24,1,47
2.29070259963178E-41,88.5,170.423614501953,244.600006103516,210.81120300293,111.899307250977,88,88.3000030517578,18.8497666666667,23,1,48
1.06498683288686E-43,90.5,156.435195922852,229.600006103516,174.204864501953,110.04296875,95,95.4000015258789,22.1846666666667,22,1,49
